state,segment,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut
STATIC_1,1,3274.0,392.0,3618.0,23.7549,7.12891,-27.6611
STATIC_1,1,3257.0,403.0,3631.0,23.7549,7.12891,-27.6611
STATIC_1,1,3270.0,419.0,3589.0,23.7549,7.12891,-27.6611
STATIC_1,1,3285.0,405.0,3609.0,23.7549,7.12891,-27.6611
STATIC_1,1,3275.0,431.0,3589.0,23.7549,7.12891,-27.6611
STATIC_1,1,3280.0,419.0,3630.0,23.7549,7.12891,-27.6611
STATIC_1,1,3255.0,420.0,3610.0,23.7549,7.12891,-27.6611
STATIC_1,1,3292.0,441.0,3594.0,23.7549,7.12891,-27.6611
STATIC_1,1,3272.0,449.0,3616.0,23.7549,7.12891,-27.6611
STATIC_1,1,3265.0,441.0,3609.0,23.7549,7.12891,-27.6611
STATIC_1,1,3270.0,441.0,3615.0,23.7549,7.12891,-27.6611
STATIC_1,1,3268.0,442.0,3646.0,23.7549,7.12891,-27.6611
STATIC_1,1,3279.0,442.0,3634.0,23.7549,7.12891,-27.6611
STATIC_1,1,3278.0,448.0,3614.0,23.7549,7.12891,-27.6611
STATIC_1,1,3266.0,446.0,3614.0,23.7549,7.12891,-27.6611
STATIC_1,1,3256.0,443.0,3614.0,23.7549,7.12891,-27.6611
STATIC_1,1,3270.0,435.0,3638.0,23.7549,7.12891,-27.6611
STATIC_1,1,3263.0,435.0,3640.0,23.7549,7.12891,-27.6611
STATIC_1,1,3276.0,446.0,3639.0,23.7549,7.12891,-27.6611
STATIC_1,1,3283.0,436.0,3612.0,23.7549,7.12891,-27.6611
STATIC_1,1,3272.0,415.0,3609.0,23.7549,7.12891,-27.6611
STATIC_1,1,3277.0,447.0,3603.0,23.7549,7.12891,-27.6611
STATIC_1,1,3266.0,438.0,3638.0,23.7549,7.12891,-27.6611
STATIC_1,1,3283.0,428.0,3601.0,23.7549,7.12891,-27.6611
STATIC_1,1,3269.0,438.0,3593.0,23.7549,7.12891,-27.6611
STATIC_1,1,3269.0,429.0,3603.0,23.7549,7.12891,-27.6611
