time_iso,unix_s,right_erpm,gnss_gspeed_mps,gnss_vel_norm_mps,ratio_erpm_per_mps,sat,dop,hacc_m,sacc_mps,gnss_measurement_age_s,erpm_pair_age_s,esc_right_age_ms,gnss_vel_sigma_mps,steering_deg,esc_fault,valid,reject_reason
2026-09-17T23:57:18.842,1789664238.842799,0.000,0.024100,0.024083,nan,16,0.690,0.600,0.392,0.041,0.007,0.0,nan,0.000,0,0,gnss_fix_not_ok;sacc_high;speed_low
2026-09-17T23:57:18.940,1789664238.940112,0.000,0.047900,0.047927,nan,16,0.690,0.602,0.399,0.040,0.006,0.0,nan,0.000,0,0,gnss_fix_not_ok;sacc_high;speed_low
2026-09-17T23:57:19.049,1789664239.049544,0.000,0.021600,0.021587,nan,16,0.690,0.604,0.354,0.048,0.015,0.0,0.3541,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:19.143,1789664239.143442,0.000,0.029800,0.029833,nan,16,0.710,0.605,0.311,0.043,0.010,0.0,0.3110,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:19.242,1789664239.242361,0.000,0.053000,0.053009,nan,16,0.710,0.605,0.341,0.042,0.008,0.0,0.3410,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:19.341,1789664239.341371,0.000,0.023000,0.023022,nan,16,0.710,0.606,0.323,0.041,0.007,0.0,0.3230,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:19.441,1789664239.441480,0.000,0.055100,0.055073,nan,16,0.740,0.606,0.295,0.041,0.007,0.0,0.2950,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:19.540,1789664239.540394,0.000,0.026600,0.026627,nan,16,0.740,0.606,0.215,0.040,0.006,0.0,0.2150,0.000,0,0,speed_low
2026-09-17T23:57:19.640,1789664239.640432,0.000,0.035100,0.035114,nan,16,0.740,0.606,0.215,0.040,0.006,0.0,0.2150,0.000,0,0,speed_low
2026-09-17T23:57:19.744,1789664239.744538,0.000,0.015100,0.015133,nan,16,0.740,0.607,0.282,0.044,0.010,0.0,0.2820,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:19.841,1789664239.841362,0.000,0.036100,0.036056,nan,16,0.740,0.607,0.290,0.041,0.006,0.0,0.2900,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:19.941,1789664239.941427,0.000,0.030100,0.030150,nan,16,0.740,0.607,0.332,0.041,0.007,0.0,0.3320,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:20.051,1789664240.051320,0.000,0.025100,0.025060,nan,16,0.740,0.607,0.285,0.051,0.016,0.0,0.2850,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:20.143,1789664240.143414,0.000,0.032700,0.032696,nan,16,0.740,0.606,0.299,0.043,0.009,0.0,0.2990,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:20.249,1789664240.249366,0.000,0.012000,0.012042,nan,16,0.740,0.606,0.240,0.049,0.014,0.0,0.2400,0.000,0,0,speed_low
2026-09-17T23:57:20.344,1789664240.344068,0.000,0.063000,0.063032,nan,16,0.740,0.606,0.356,0.043,0.009,0.0,0.3560,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:20.441,1789664240.441340,0.000,0.121800,0.121758,nan,16,0.740,0.607,0.330,0.041,0.006,0.0,0.3300,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:20.539,1789664240.539451,0.000,0.067200,0.067201,nan,16,0.710,0.608,0.316,0.039,0.004,0.0,0.3160,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:20.640,1789664240.640296,0.000,0.051600,0.051624,nan,16,0.710,0.609,0.277,0.040,0.005,0.0,0.2770,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:20.741,1789664240.741333,0.000,0.017200,0.017205,nan,16,0.710,0.610,0.245,0.041,0.006,0.0,0.2450,0.000,0,0,speed_low
2026-09-17T23:57:20.840,1789664240.840904,0.000,0.054200,0.054203,nan,16,0.710,0.611,0.359,0.040,0.006,0.0,0.3590,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:20.941,1789664240.941392,0.000,0.052800,0.052802,nan,16,0.710,0.612,0.285,0.041,0.006,0.0,0.2850,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:21.050,1789664241.050896,0.000,0.064200,0.064195,nan,16,0.710,0.613,0.267,0.050,0.015,0.0,0.2670,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:21.143,1789664241.143447,0.000,0.032100,0.032062,nan,16,0.710,0.614,0.242,0.043,0.007,0.0,0.2420,0.000,0,0,speed_low
2026-09-17T23:57:21.242,1789664241.242344,0.000,0.009200,0.009220,nan,16,0.710,0.615,0.289,0.042,0.006,0.0,0.2890,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:21.341,1789664241.341388,0.000,0.023000,0.023022,nan,16,0.740,0.616,0.339,0.041,0.005,0.0,0.3390,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:21.440,1789664241.440442,0.000,0.030000,0.030017,nan,16,0.740,0.617,0.233,0.040,0.004,0.0,0.2330,0.000,0,0,speed_low
2026-09-17T23:57:21.541,1789664241.541245,0.000,0.037700,0.037696,nan,16,0.710,0.617,0.316,0.041,0.005,0.0,0.3160,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:21.640,1789664241.640328,0.000,0.033200,0.033242,nan,16,0.710,0.617,0.265,0.040,0.004,0.0,0.2650,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:21.740,1789664241.740351,0.000,0.032000,0.032000,nan,16,0.740,0.618,0.261,0.040,0.005,0.0,0.2610,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:21.840,1789664241.840621,0.000,0.024100,0.024083,nan,16,0.740,0.618,0.242,0.040,0.007,0.0,0.2420,0.000,0,0,speed_low
2026-09-17T23:57:21.939,1789664241.939463,0.000,0.025600,0.025612,nan,16,0.710,0.618,0.261,0.039,0.006,0.0,0.2610,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:22.051,1789664242.051355,0.000,0.036400,0.036401,nan,16,0.740,0.618,0.261,0.051,0.015,0.0,0.2610,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:22.142,1789664242.142358,0.000,0.046700,0.046690,nan,16,0.740,0.618,0.204,0.042,0.006,0.0,0.2040,0.000,0,0,speed_low
2026-09-17T23:57:22.241,1789664242.241432,0.000,0.018700,0.018682,nan,16,0.740,0.618,0.251,0.041,0.007,0.0,0.2510,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:22.340,1789664242.340339,0.000,0.039200,0.039217,nan,16,0.740,0.618,0.301,0.040,0.004,0.0,0.3010,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:22.440,1789664242.440495,0.000,0.014300,0.014318,nan,16,0.740,0.618,0.247,0.040,0.007,0.0,0.2470,0.000,0,0,speed_low
2026-09-17T23:57:22.540,1789664242.540392,0.000,0.040300,0.040311,nan,16,0.740,0.617,0.250,0.040,0.004,0.0,0.2500,0.000,0,0,speed_low
2026-09-17T23:57:22.639,1789664242.639348,0.000,0.023000,0.023000,nan,16,0.740,0.617,0.256,0.039,0.005,0.0,0.2560,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:22.740,1789664242.740434,0.000,0.065100,0.065069,nan,16,0.740,0.617,0.260,0.040,0.006,0.0,0.2601,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:22.839,1789664242.839387,0.000,0.078000,0.078006,nan,16,0.740,0.617,0.300,0.039,0.006,0.0,0.3000,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:22.937,1789664242.937515,0.000,0.071600,0.071568,nan,16,0.740,0.617,0.323,0.037,0.003,0.0,0.3230,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:23.050,1789664243.050421,0.000,0.011200,0.011180,nan,16,0.740,0.617,0.265,0.050,0.016,0.0,0.2650,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:23.141,1789664243.141363,0.000,0.007800,0.007810,nan,16,0.740,0.617,0.273,0.041,0.007,0.0,0.2730,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:23.240,1789664243.240465,0.000,0.053200,0.053151,nan,16,0.740,0.617,0.278,0.040,0.006,0.0,0.2780,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:23.340,1789664243.340558,0.000,0.037300,0.037336,nan,16,0.740,0.617,0.305,0.040,0.007,0.0,0.3050,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:23.438,1789664243.438388,0.000,0.013400,0.013416,nan,16,0.740,0.617,0.272,0.038,0.004,0.0,0.2720,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:23.540,1789664243.540441,0.000,0.046600,0.046648,nan,16,0.740,0.617,0.244,0.040,0.006,0.0,0.2440,0.000,0,0,speed_low
2026-09-17T23:57:23.642,1789664243.642429,0.000,0.043400,0.043417,nan,16,0.740,0.617,0.268,0.042,0.008,0.0,0.2680,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:23.740,1789664243.740564,0.000,0.031100,0.031145,nan,16,0.740,0.617,0.276,0.040,0.006,0.0,0.2760,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:23.839,1789664243.839517,0.000,0.035500,0.035468,nan,16,0.740,0.618,0.279,0.039,0.004,0.0,0.2790,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:23.938,1789664243.938470,0.000,0.011700,0.011705,nan,16,0.740,0.618,0.298,0.038,0.004,0.0,0.2980,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:24.049,1789664244.049419,0.000,0.014200,0.014213,nan,16,0.740,0.620,0.361,0.049,0.015,0.0,0.3611,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:24.141,1789664244.141512,0.000,0.016500,0.016492,nan,16,0.740,0.621,0.290,0.041,0.007,0.0,0.2900,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:24.241,1789664244.241490,0.000,0.034500,0.034525,nan,16,0.740,0.622,0.265,0.041,0.007,0.0,0.2650,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:24.340,1789664244.340449,0.000,0.017100,0.017117,nan,16,0.740,0.622,0.262,0.040,0.006,0.0,0.2620,0.000,0,0,sacc_high;speed_low
2026-09-17T23:57:24.438,1789664244.438314,0.000,0.010800,0.010817,nan,16,0.740,0.622,0.285,0.038,0.004,0.0,0.2850,0.000,0,0,sacc_high;speed_low
