state,segment,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut
STATIC_1,1,3859.0,897.0,3988.0,25.8545,-1.80511,-28.9062
STATIC_1,1,3855.0,904.0,4007.0,25.8545,-2.00958,-29.1748
STATIC_1,1,3858.0,884.0,4004.0,25.8057,-1.79596,-28.9062
STATIC_1,1,3844.0,899.0,4028.0,25.8545,-2.01721,-29.1504
STATIC_1,1,3848.0,890.0,4006.0,25.8545,-1.98364,-29.1504
STATIC_1,1,3859.0,899.0,4008.0,25.8545,-2.11182,-29.1748
STATIC_1,1,3855.0,887.0,3983.0,25.8545,-1.98059,-29.1992
STATIC_1,1,3848.0,897.0,3987.0,25.8301,-2.0401,-29.1016
STATIC_1,1,3850.0,895.0,3993.0,25.8301,-1.98975,-29.126
STATIC_1,1,3847.0,886.0,3984.0,25.8301,-1.96075,-29.1504
STATIC_1,1,3849.0,891.0,4001.0,25.8545,-1.96075,-29.1016
STATIC_1,1,3834.0,894.0,3987.0,25.8789,-1.96381,-29.1748
STATIC_1,1,3849.0,902.0,4021.0,25.8301,-1.76392,-28.9307
STATIC_1,1,3862.0,890.0,3985.0,25.8301,-2.00958,-29.126
STATIC_1,1,3848.0,898.0,3995.0,25.8057,-1.77765,-28.9795
STATIC_1,1,3835.0,918.0,4010.0,25.8301,-2.05841,-29.2236
STATIC_1,1,3852.0,891.0,4003.0,25.8057,-1.75629,-28.9062
STATIC_1,1,3855.0,895.0,4000.0,25.8545,-1.90735,-29.0771
STATIC_1,1,3869.0,889.0,4008.0,25.8057,-1.80817,-28.9307
STATIC_1,1,3869.0,889.0,4006.0,25.8545,-1.96686,-29.1748
STATIC_1,1,3849.0,888.0,3995.0,25.8545,-2.005,-29.1504
STATIC_1,1,3856.0,900.0,3977.0,25.8301,-1.97296,-29.1016
STATIC_1,1,3856.0,888.0,4013.0,25.8545,-1.99585,-29.1748
STATIC_1,1,3837.0,899.0,3989.0,25.8301,-1.96686,-29.126
STATIC_1,1,3857.0,904.0,3970.0,25.8789,-2.01263,-29.1504
STATIC_1,1,3843.0,894.0,4000.0,25.8301,-1.94702,-29.1016
STATIC_1,1,3841.0,909.0,4010.0,25.8301,-2.005,-29.126
STATIC_1,1,3848.0,891.0,3977.0,25.8301,-1.78223,-28.9795
STATIC_1,1,3846.0,890.0,4009.0,25.8301,-1.85394,-29.0283
STATIC_1,1,3838.0,895.0,4004.0,25.8057,-1.76392,-28.9062
STATIC_1,1,3861.0,883.0,3989.0,25.8545,-1.93634,-29.1504
STATIC_1,1,3843.0,882.0,3972.0,25.7812,-1.75171,-28.8818
STATIC_1,1,3850.0,904.0,4001.0,25.8545,-1.98364,-29.1504
STATIC_1,1,3852.0,889.0,4017.0,25.8057,-1.79596,-28.833
STATIC_1,1,3862.0,896.0,4001.0,25.8545,-2.0462,-29.1504
STATIC_1,1,3856.0,900.0,3990.0,25.8545,-1.93329,-29.1504
STATIC_1,1,3843.0,902.0,4015.0,25.8301,-1.98212,-29.0771
STATIC_1,1,3851.0,879.0,4039.0,25.8545,-1.98212,-29.1504
STATIC_1,1,3858.0,889.0,4029.0,25.8545,-1.96075,-29.1748
STATIC_1,1,3857.0,887.0,4006.0,25.8545,-2.02637,-29.1748
STATIC_1,1,3836.0,887.0,4014.0,25.8545,-1.95618,-29.1504
STATIC_1,1,3836.0,893.0,4007.0,25.8301,-2.00348,-29.1504
STATIC_1,1,3839.0,905.0,4018.0,25.8301,-1.87988,-29.0039
STATIC_1,1,3842.0,882.0,4005.0,25.8545,-1.86615,-29.0283
STATIC_1,1,3850.0,898.0,4017.0,25.8545,-1.99585,-29.0283
