wall_time,state,segment,yah_mag_x_lsb,yah_mag_y_lsb,yah_mag_z_lsb,neo_mag_x_ut,neo_mag_y_ut,neo_mag_z_ut
1789591933.136772,STATIC_1,1,610.0,12.0,3374.0,14.1968,-0.71106,-23.4009
1789591933.2432082,STATIC_1,1,596.0,22.0,3356.0,14.1724,-0.737762,-23.3276
1789591933.344226,STATIC_1,1,586.0,25.0,3359.0,14.2334,-0.763321,-23.2178
1789591933.4449573,STATIC_1,1,593.0,23.0,3363.0,14.1724,-0.733185,-23.2056
1789591933.5625966,STATIC_1,1,595.0,18.0,3353.0,14.2334,-0.786591,-23.1201
1789591933.6632233,STATIC_1,1,577.0,6.0,3363.0,14.1602,-0.791168,-23.4009
1789591933.7771137,STATIC_1,1,590.0,24.0,3339.0,14.2212,-0.813293,-23.0103
1789591933.881919,STATIC_1,1,575.0,31.0,3359.0,14.209,-0.737762,-23.2666
1789591933.9821415,STATIC_1,1,593.0,21.0,3347.0,14.1724,-0.577927,-22.937
1789591934.082231,STATIC_1,1,599.0,11.0,3325.0,14.2578,-0.728989,-23.1201
1789591934.1870155,STATIC_1,1,588.0,15.0,3344.0,14.1602,-0.5867,-22.8882
1789591934.287017,STATIC_1,1,609.0,10.0,3371.0,14.1846,-0.684357,-23.0347
1789591934.3870397,STATIC_1,1,595.0,12.0,3378.0,14.1724,-0.502396,-23.0835
1789591934.4870503,STATIC_1,1,595.0,20.0,3361.0,14.1479,-0.640106,-23.2666
1789591934.5871072,STATIC_1,1,613.0,11.0,3365.0,14.1846,-0.537872,-22.998
1789591934.6980941,STATIC_1,1,587.0,13.0,3340.0,14.1724,-0.673294,-23.0835
1789591934.7999058,STATIC_1,1,597.0,19.0,3356.0,14.209,-0.728989,-23.1567
1789591934.9000597,STATIC_1,1,596.0,17.0,3366.0,14.1724,-0.684357,-23.1812
1789591935.0002346,STATIC_1,1,606.0,5.0,3371.0,14.1724,-0.706482,-23.1445
1789591935.1192677,STATIC_1,1,603.0,8.0,3376.0,14.2212,-0.800323,-23.0835
1789591935.220168,STATIC_1,1,595.0,19.0,3364.0,14.1724,-0.764465,-23.1934
1789591935.3345773,STATIC_1,1,599.0,20.0,3357.0,14.2212,-0.733185,-23.1567
1789591935.4346519,STATIC_1,1,598.0,12.0,3348.0,14.1968,-0.751114,-23.23
1789591935.5354455,STATIC_1,1,579.0,13.0,3350.0,14.1724,-0.773239,-23.1812
1789591935.63646,STATIC_1,1,595.0,18.0,3371.0,14.209,-0.559998,-23.1323
1789591935.737994,STATIC_1,1,581.0,27.0,3358.0,14.1602,-0.706482,-23.23
1789591935.8380568,STATIC_1,1,589.0,17.0,3361.0,14.1968,-0.537872,-22.937
1789591935.93812,STATIC_1,1,602.0,9.0,3377.0,14.209,-0.719833,-23.0347
